date,store,city,product_id,price,quantity,promo,total
2023-01-01,Magasin_17,Marrakech,89,140.93,4,0,563.72
2023-01-01,Magasin_08,Fès,88,32.44,2,1,64.88
2023-01-01,Magasin_20,Fès,42,35.78,4,0,143.12
2023-01-01,Magasin_19,Rabat,40,157.74,2,0,315.48
2023-01-01,Magasin_15,Agadir,45,175.49,4,0,701.96
2023-01-01,Magasin_09,Agadir,1,239.2,1,0,239.2
2023-01-02,Magasin_04,Agadir,70,214.63,4,0,858.52
2023-01-02,Magasin_20,Tétouan,4,100.62,0,0,0.0
2023-01-02,Magasin_15,Meknès,42,123.09,5,0,615.45
2023-01-02,Magasin_06,Rabat,73,120.48,0,0,0.0
2023-01-02,Magasin_03,Rabat,16,,3,0,
2023-01-03,Magasin_15,Fès,54,234.11,1,0,234.11
2023-01-03,Magasin_18,Fès,14,108.27,3,0,324.81
2023-01-03,Magasin_06,Rabat,35,136.24,6,0,817.44
2023-01-03,Magasin_18,Casablanca,57,28.97,1,0,28.97
2023-01-04,Magasin_17,Tétouan,85,153.83,3,0,461.49
2023-01-04,Magasin_03,Agadir,88,113.52,1,0,113.52
2023-01-05,Magasin_05,Meknès,98,157.82,6,1,946.92
2023-01-05,Magasin_05,Casablanca,19,17.15,3,0,51.449999999999996
2023-01-05,Magasin_09,,97,176.09,3,0,528.27
2023-01-05,Magasin_11,Tétouan,30,238.99,3,1,716.97
2023-01-06,Magasin_09,Tanger,57,163.94,2,1,327.88
2023-01-07,Magasin_13,Meknès,64,116.76,5,0,583.8000000000001
2023-01-07,Magasin_17,Tanger,68,176.75,1,0,176.75
2023-01-07,Magasin_08,Meknès,10,116.82,5,0,584.0999999999999
2023-01-07,Magasin_20,,61,70.48,5,1,352.40000000000003
2023-01-07,Magasin_09,Marrakech,77,116.63,4,0,466.52
2023-01-07,Magasin_18,Tétouan,15,79.88,1,1,79.88
2023-01-08,Magasin_14,Rabat,4,169.84,4,0,679.36
2023-01-08,Magasin_13,Marrakech,97,172.83,5,1,864.1500000000001
2023-01-08,Magasin_02,Marrakech,69,114.75,2,0,229.5
2023-01-08,Magasin_15,Fès,4,243.7,3,1,731.0999999999999
2023-01-08,Magasin_19,Marrakech,51,221.19,1,0,221.19
2023-01-09,Magasin_01,Rabat,69,81.62,2,0,163.24
2023-01-09,Magasin_06,Tétouan,16,147.94,5,0,739.7
2023-01-09,Magasin_05,Meknès,69,42.83,3,1,128.49
2023-01-10,Magasin_20,Agadir,35,9.5,2,0,19.0
2023-01-10,Magasin_11,Agadir,49,222.42,4,1,889.68
2023-01-10,Magasin_09,Fès,68,226.12,1,0,226.12
2023-01-10,Magasin_01,Rabat,60,39.6,2,0,79.2
2023-01-10,Magasin_17,Casablanca,59,213.23,1,0,213.23
2023-01-11,Magasin_05,Meknès,2,60.69,3,1,182.07
2023-01-11,Magasin_13,Tétouan,72,174.01,5,0,870.05
2023-01-11,Magasin_04,Marrakech,52,59.26,5,0,296.3
2023-01-11,Magasin_13,Tanger,90,55.63,3,0,166.89000000000001
2023-01-12,Magasin_13,Casablanca,73,90.65,2,0,181.3
2023-01-12,Magasin_08,Tanger,26,48.02,2,0,96.04
2023-01-12,Magasin_03,Fès,50,207.24,2,0,414.48
2023-01-12,Magasin_11,Rabat,70,8.9,0,0,0.0
2023-01-12,Magasin_16,Rabat,34,,3,0,
2023-01-12,Magasin_10,Marrakech,90,196.98,4,0,787.92
2023-01-12,Magasin_16,Tanger,89,239.98,10,1,2399.7999999999997
2023-01-12,Magasin_18,Tanger,57,189.32,2,0,378.64
2023-01-12,Magasin_14,Casablanca,78,73.44,4,0,293.76
2023-01-13,Magasin_12,Marrakech,45,90.09,2,0,180.18
2023-01-13,Magasin_06,Tanger,4,148.75,4,0,595.0
2023-01-14,Magasin_04,Fès,42,47.23,3,1,141.69
2023-01-14,Magasin_16,Tétouan,92,190.6,1,0,190.6
2023-01-15,Magasin_08,Marrakech,84,133.46,2,0,266.92
2023-01-15,Magasin_04,Casablanca,71,225.58,3,0,676.74
2023-01-15,Magasin_19,Tanger,80,188.66,1,0,188.66
2023-01-16,Magasin_20,Rabat,3,157.46,2,0,314.92
2023-01-16,Magasin_10,Rabat,7,152.83,2,0,305.66
2023-01-16,Magasin_07,Marrakech,11,239.69,2,0,479.38
2023-01-17,Magasin_13,Meknès,8,131.99,3,0,395.97
2023-01-17,Magasin_19,Agadir,35,147.01,3,1,441.03
2023-01-17,Magasin_09,Marrakech,40,167.79,3,1,503.37
2023-01-17,Magasin_20,Tétouan,99,195.86,2,0,391.72
2023-01-17,Magasin_01,Tanger,19,84.8,9,0,763.1999999999999
2023-01-17,Magasin_09,Marrakech,87,83.17,3,0,249.51
2023-01-17,Magasin_09,Marrakech,76,77.86,3,0,233.57999999999998
2023-01-17,Magasin_13,Casablanca,92,,4,0,
2023-01-18,Magasin_09,Marrakech,55,214.52,3,0,643.5600000000001
2023-01-18,Magasin_13,Tétouan,14,123.31,3,1,369.93
2023-01-19,Magasin_15,Tétouan,4,61.3,3,0,183.89999999999998
2023-01-19,Magasin_01,Rabat,8,233.96,1,0,233.96
2023-01-19,Magasin_05,Agadir,14,155.98,2,0,311.96
2023-01-19,Magasin_17,Agadir,90,103.59,1,0,103.59
2023-01-20,Magasin_04,Tanger,63,249.02,5,0,1245.1000000000001
2023-01-20,Magasin_01,Tétouan,36,122.18,2,0,244.36
2023-01-20,Magasin_11,Casablanca,34,95.12,3,0,285.36
2023-01-21,Magasin_08,Fès,95,116.74,5,0,583.6999999999999
2023-01-21,Magasin_11,Marrakech,66,156.79,2,1,313.58
2023-01-21,Magasin_16,Tanger,40,80.88,4,0,323.52
2023-01-21,Magasin_08,Fès,79,190.21,4,1,760.84
2023-01-22,Magasin_20,Agadir,44,14.87,2,1,29.74
2023-01-22,Magasin_06,Meknès,64,186.04,3,0,558.12
2023-01-22,Magasin_17,Fès,24,25.2,5,0,126.0
2023-01-22,Magasin_18,Fès,57,226.12,0,0,0.0
2023-01-23,Magasin_05,Agadir,22,8.75,0,0,0.0
2023-01-23,Magasin_07,Agadir,78,214.4,3,0,643.2
2023-01-23,Magasin_07,Marrakech,37,153.91,1,0,153.91
2023-01-23,Magasin_13,Meknès,52,124.25,3,0,372.75
2023-01-23,Magasin_14,Fès,82,188.63,6,0,1131.78
2023-01-24,Magasin_03,Tanger,65,148.16,4,0,592.64
2023-01-25,Magasin_02,Rabat,76,41.46,2,0,82.92
2023-01-25,Magasin_18,Tétouan,19,113.27,3,1,339.81
2023-01-25,Magasin_02,Casablanca,93,67.53,2,1,135.06
2023-01-25,Magasin_01,Marrakech,50,76.14,4,0,304.56
2023-01-25,Magasin_03,Agadir,6,153.93,2,0,307.86
2023-01-26,Magasin_16,Casablanca,40,200.09,0,0,0.0
2023-01-26,Magasin_08,Rabat,29,82.07,2,0,164.14
2023-01-26,Magasin_12,Rabat,16,204.09,3,1,612.27
2023-01-27,Magasin_05,Tétouan,69,177.01,10,0,1770.1
2023-01-27,Magasin_13,Agadir,58,233.53,3,0,700.59
2023-01-27,Magasin_15,Marrakech,42,74.47,4,0,297.88
2023-01-28,Magasin_05,Tétouan,58,168.82,4,0,675.28
2023-01-28,Magasin_19,Rabat,30,169.64,3,0,508.91999999999996
2023-01-28,Magasin_07,Rabat,25,69.95,5,0,349.75
2023-01-29,Magasin_16,Marrakech,87,181.72,3,0,545.16
2023-01-29,Magasin_08,Fès,39,219.25,1,0,219.25
2023-01-29,Magasin_04,Rabat,48,61.99,2,0,123.98
2023-01-29,Magasin_09,Rabat,68,201.04,2,0,402.08
2023-01-29,Magasin_15,Tétouan,71,200.63,2,0,401.26
2023-01-29,Magasin_16,Fès,86,35.27,5,0,176.35000000000002
2023-01-29,Magasin_04,Agadir,69,177.91,5,0,889.55
2023-01-31,Magasin_05,Rabat,80,6.15,3,0,18.450000000000003
2023-02-01,Magasin_07,Marrakech,21,112.22,1,0,112.22
2023-02-02,Magasin_20,Meknès,56,112.84,1,0,112.84
2023-02-02,Magasin_05,Agadir,10,206.11,3,1,618.33
2023-02-03,Magasin_09,Agadir,59,159.21,3,0,477.63
2023-02-03,Magasin_19,Casablanca,96,103.22,4,1,412.88
2023-02-03,Magasin_01,Marrakech,37,5.97,1,0,5.97
2023-02-04,Magasin_20,Fès,51,189.65,0,0,0.0
2023-02-04,Magasin_01,Tanger,60,128.89,3,0,386.66999999999996
2023-02-04,Magasin_11,Agadir,36,175.7,3,0,527.0999999999999
2023-02-05,Magasin_14,Rabat,29,194.16,2,1,388.32
2023-02-05,Magasin_18,Rabat,37,147.04,1,0,147.04
2023-02-05,Magasin_13,Tanger,17,135.66,2,1,271.32
2023-02-06,Magasin_20,Casablanca,69,116.84,2,0,233.68
2023-02-06,Magasin_14,Agadir,99,65.96,3,0,197.88
2023-02-06,Magasin_02,Meknès,93,92.89,6,1,557.34
2023-02-06,Magasin_03,Agadir,39,97.41,2,1,194.82
2023-02-06,Magasin_13,Tanger,18,97.86,4,0,391.44
2023-02-07,Magasin_15,Meknès,85,12.15,2,0,24.3
2023-02-07,Magasin_12,Casablanca,91,191.9,3,0,575.7
2023-02-08,Magasin_03,Casablanca,85,126.89,5,0,634.45
